"ORDER_NUMBER","new_discount_rate","discount_rate_application_note"
"10998","0%","apply old discount rate"
"10998","0%","apply old discount rate"
"10998","0%","apply old discount rate"
"10998","0%","apply old discount rate"
"10999","0%","apply old discount rate"
"10999","5%","apply old discount rate"
"10999","0%","apply old discount rate"
"11000","5%","apply new discount rate"
"11000","0%","apply new discount rate"
"11000","0%","apply new discount rate"
"11001","5%","apply new discount rate"
"11001","5%","apply new discount rate"
"11001","0%","apply new discount rate"
"11001","0%","apply new discount rate"
"11002","0%","apply new discount rate"
"11002","0%","apply new discount rate"
"11002","0%","apply new discount rate"
"11002","5%","apply new discount rate"
"11003","0%","apply new discount rate"
"11003","0%","apply new discount rate"
"11003","0%","apply new discount rate"
