"SUPPLIER_NUMBER","COMPANY","ADDRESS","PHONE"
"1","Exotic Liquids","49 Gilbert St.","(171) 555-2222"
"20","Leka Trading","471 Serangoon Loop, Suite #402","555-8787"
"7","Pavlova, Ltd.","74 Rose St.Moonie Ponds","(059) 55-5450"
"1","Exotic Liquids","49 Gilbert St.","(171) 555-2222"
"16","Bigfoot Breweries","3400 - 8th AvenueSuite 210","(503) 555-9931"
"16","Bigfoot Breweries","3400 - 8th AvenueSuite 210","(503) 555-9931"
"18","Aux joyeux ecclésiastiques","203, Rue des Francs-Bourgeois","01.03.83.00.68"
"16","Bigfoot Breweries","3400 - 8th AvenueSuite 210","(503) 555-9931"
"23","Karkki Oy","Valtakatu 12","(953) 10956"
"2","Nouvelle-Orléans Cajun Delights","P.O. Box 78934","(100) 555-4822"
"2","Nouvelle-Orléans Cajun Delights","P.O. Box 78934","(100) 555-4822"
"2","Nouvelle-Orléans Cajun Delights","P.O. Box 78934","(100) 555-4822"
"2","Nouvelle-Orléans Cajun Delights","P.O. Box 78934","(100) 555-4822"
"2","Nouvelle-Orléans Cajun Delights","P.O. Box 78934","(100) 555-4822"
"2","Nouvelle-Orléans Cajun Delights","P.O. Box 78934","(100) 555-4822"
"2","Nouvelle-Orléans Cajun Delights","P.O. Box 78934","(100) 555-4822"
"2","Nouvelle-Orléans Cajun Delights","P.O. Box 78934","(100) 555-4822"
"2","Nouvelle-Orléans Cajun Delights","P.O. Box 78934","(100) 555-4822"
"2","Nouvelle-Orléans Cajun Delights","P.O. Box 78934","(100) 555-4822"
"2","Nouvelle-Orléans Cajun Delights","P.O. Box 78934","(100) 555-4822"
"2","Nouvelle-Orléans Cajun Delights","P.O. Box 78934","(100) 555-4822"
"2","Nouvelle-Orléans Cajun Delights","P.O. Box 78934","(100) 555-4822"
"2","Nouvelle-Orléans Cajun Delights","P.O. Box 78934","(100) 555-4822"
"2","Nouvelle-Orléans Cajun Delights","P.O. Box 78934","(100) 555-4822"
"2","Nouvelle-Orléans Cajun Delights","P.O. Box 78934","(100) 555-4822"
